timestamp,label,score,layers,syn_count,pkt_count,byte_count,cookie,pid,comm
10:10:35,portscan,0.34,.T..,0,0,0,0,0,
10:10:35,portscan,0.34,.T..,0,0,0,0,0,
10:10:35,portscan,0.33,.T..,0,0,0,0,0,
10:10:35,portscan,19.79,XT..,0,167,0,0,0,
10:10:35,portscan,0.33,.T..,0,0,0,0,0,
10:10:35,portscan,0.33,.T..,0,0,0,0,0,
10:10:35,portscan,0.33,.T..,0,0,0,0,0,
10:10:35,portscan,0.33,.T..,0,0,0,0,0,
10:10:35,portscan,0.32,.T..,0,0,0,0,0,
10:10:35,portscan,0.32,.T..,0,0,0,0,0,
10:10:35,portscan,20.45,XT..,0,169,0,0,0,
10:10:35,portscan,0.32,.T..,0,0,0,0,0,
10:10:35,portscan,0.32,.T..,0,0,0,0,0,
10:10:35,portscan,0.32,.T..,0,0,0,0,0,
10:10:35,portscan,0.31,.T..,0,0,0,0,0,
10:10:35,portscan,20.83,XT..,0,171,0,0,0,
10:10:35,portscan,0.31,.T..,0,0,0,0,0,
10:10:35,portscan,0.31,.T..,0,0,0,0,0,
10:10:35,portscan,21.03,XT..,0,173,0,0,0,
10:10:35,portscan,20.90,XT..,0,175,0,0,0,
10:10:35,portscan,20.77,XT..,0,177,0,0,0,
10:10:36,portscan,20.74,XT..,0,179,0,0,0,
10:10:36,portscan,20.63,XT..,0,181,0,0,0,
10:10:36,portscan,11.59,XT..,0,22,0,0,0,
10:10:36,portscan,20.43,XT..,0,183,0,0,0,
10:10:36,portscan,20.31,XT..,0,185,0,0,0,
10:10:36,portscan,20.25,XT..,0,187,0,0,0,
10:10:36,portscan,10.51,XT..,0,8,0,0,0,
10:10:36,portscan,20.12,XT..,0,189,0,0,0,
10:10:36,portscan,20.02,XT..,0,191,0,0,0,
10:10:37,portscan,19.96,XT..,0,193,0,0,0,
10:10:37,portscan,19.88,XT..,0,195,0,0,0,
10:10:37,portscan,19.81,XT..,0,197,0,0,0,
10:10:37,portscan,19.68,XT..,0,199,0,0,0,
10:10:37,portscan,19.60,XT..,0,201,0,0,0,
